"Source Url","Headline","Description"
"https://www.mp.se/","Fördubblat bistånd för miljö- och klimatsatsningar i fattiga länder","Regeringen beslutade i dag att fördubbla satsningen på bistånd till miljö- och klimatsatsningar för hållbar utveckling i fattiga länder, från 700 miljoner kronor per år till 1,3 miljarder per år."
"https://www.mp.se/","Regeringen vill förbjuda brytning av uran","På torsdagen presenterades regeringens förslag om ett totalförbud mot brytning av uran. Beslutet välkomnas av kommunstyrelsens ordförande i Skövde, som är en av de kommuner med stora urantillgångar."
"https://www.mp.se/","Presstödet höjs med fokus på lokala medier och innovation","Vi inför ett nytt stöd för journalistik i områden som är svagt eller inte alls bevakade. Dagens utvecklingsstöd vidareutvecklas med fokus på samarbeten för att möta digitaliseringens utmaningar."
"https://www.mp.se/","Miljöpartiet vill sätta stopp för fossila drivmedel 2030","Miljöpartiet presenterar en klimatfärdplan med 142 åtgärder som ska göra så att Sverige lever upp till Parisavtalet."
"https://www.mp.se/","Miljöpartiets klimatfärdplan – så ska vi leva upp till Parisavtalet",""
