"Source Url","Headline","Description"
"https://www.gruene.at/","Grüne Dringliche zu BVT: Kickl kritisiert Befragung","Statt zu antworten, kritisierte der Innenminister erstmal die Befragenden – zur großen"
"https://www.gruene.at/","1938: Wehret den Anfängen!","Angesichts des Gedenkens an den""Anschluss"" Österreichs vor 80 Jahren appelliert Kogler an"
"https://www.gruene.at/","Weltfrauentag: ""Du sollst begehren""","Auf der Wiener Mariahilferstraße haben wir anlässlich des Weltfrauentags für das"
"https://www.gruene.at/","Kogler: ""Werden NOVOMATIC weiterhin bekämpfen""","Klare Worte unseres Bundessprechers Werner Kogler zum Wechsel von Eva Glawischnig zum"
"https://www.gruene.at/","Alte Diesel-Autos oder Kinder-Lungen: was ist wichtiger?","Grünes Licht für das Diesel-Fahrverbot in Deutschland: Das"
"https://www.gruene.at/","Höchstgericht wird rechts-konservativ","Der Verfassungsgerichtshof wird neu besetzt. Neun von vierzehn VerfassungsrichterInnen"
